date,value
Jun-09,23428
Jul-09,29174
Aug-09,38971
Sep-09,28900
Oct-09,19500
Nov-09,11122
Dec-09,12978
Jan-10,6643
Feb-10,8744
Mar-10,11388
Apr-10,17034
May-10,26833
Jun-10,25746
Jul-10,34151
Aug-10,36562
Sep-10,30761
Oct-10,21472
Nov-10,11309
Dec-10,13165
Jan-11,6016
Feb-11,8672
Mar-11,10893
Apr-11,19844
May-11,24086
Jun-11,28337
Jul-11,35726
Aug-11,36350
Sep-11,31604
Oct-11,20673
Nov-11,13300
Dec-11,13632
